colony_year,pup_sex,pup_yrborn,pup_col_area,pup_emerjdate,aug15_emergence,pup_littersizeborn,indegree,outdegree,betweenness,outcloseness,incloseness,local_clustering,neg_ave_shortest_path,ave_shortest_path,eigenv,outstrength,instrength,valley,pup_summer_surv,pup_year_surv,yearly.pred.index,overall.index,pup_massjun,pup_massaug,mass_gain,mass_gain.day,mother_age,cluster,groupID,year,group_size,network_size,mother_uid,pup_uid,mother_year
mm_2003,F,2003,mm,200,27,8,0.222222222,0,0.222222222,0.1,0.219512195,0,-1.621621622,1.621621622,0.210274042,0,2,uv,0,0,high,low,463.5821988,962.0078144,498.4256156,18.46020799,9,11,14_mm_11,2003,3,11,51,547,51 _ 2003
mm_2003,F,2003,mm,200,27,8,0.222222222,0,0.222222222,0.1,0.219512195,0,-1.621621622,1.621621622,0.210274042,0,2,uv,1,1,high,low,354.3285398,767.4677442,413.1392044,15.30145201,9,11,14_mm_11,2003,3,11,51,152,51 _ 2003
mm_2003,M,2003,mm,200,27,8,0.222222222,0,0.222222222,0.1,0.219512195,0,-1.621621622,1.621621622,0.210274042,0,2,uv,0,0,high,low,301.4035624,695.5783159,394.1747535,14.59906494,9,11,14_mm_11,2003,3,11,51,809,51 _ 2003
mm_2003,M,2003,mm,200,27,8,0.222222222,0,0.222222222,0.1,0.219512195,0,-1.621621622,1.621621622,0.210274042,0,2,uv,1,1,high,low,438.2406773,990.4647714,552.2240941,20.45274423,9,11,14_mm_11,2003,3,11,51,255,51 _ 2003
mm_2003,M,2003,mm,200,27,8,0.222222222,0,0.222222222,0.1,0.219512195,0,-1.621621622,1.621621622,0.210274042,0,2,uv,1,1,high,low,445.2947384,989.9734993,544.6787609,20.17328744,9,11,14_mm_11,2003,3,11,51,370,51 _ 2003
mm_2004,M,2004,mm,191,36,3,0,0.117647059,0,0.377777778,0.055555556,1,-2.276816609,2.276816609,0.022046032,2,0,uv,1,0,low,low,545.5563391,1526.174686,980.6183469,27.23939853,10,19,14_mm_19,2004,6,18,51,271,51 _ 2004
mm_2004,F,2004,mm,191,36,3,0,0.117647059,0,0.377777778,0.055555556,1,-2.276816609,2.276816609,0.022046032,2,0,uv,1,1,low,low,539.0366383,1504.028693,964.9920547,26.80533485,10,19,14_mm_19,2004,6,18,51,654,51 _ 2004
mm_2004,F,2004,mm,191,36,3,0,0.117647059,0,0.377777778,0.055555556,1,-2.276816609,2.276816609,0.022046032,2,0,uv,1,1,low,low,514.1228522,1414.017277,899.8944248,24.99706736,10,19,14_mm_19,2004,6,18,51,517,51 _ 2004
mm_2006,F,2006,mm,NA,NA,6,0.153846154,0.230769231,0,0.393939394,0.132653061,0.3,-2.198275862,2.198275862,0.601715498,12,7,uv,1,1,low,low,346.5761228,1087.843986,741.2678632,NA,12,26,14_mm_26,2006,4,11,51,246,51 _ 2006
mm_2006,M,2006,mm,NA,NA,6,0.153846154,0.230769231,0,0.393939394,0.132653061,0.3,-2.198275862,2.198275862,0.601715498,12,7,uv,1,1,low,low,528.2912959,1483.076446,954.7851501,NA,12,26,14_mm_26,2006,4,11,51,713,51 _ 2006
